;Date;Births
0;01/01/1749;3136
1;01/02/1749;3605
2;01/03/1749;4563
3;01/04/1749;2945
4;01/05/1749;6816
5;01/06/1749;6348
6;01/07/1749;8321
7;01/08/1749;4033
8;01/09/1749;5208
9;01/10/1749;5292
10;01/11/1749;23232
11;01/12/1749;6721
12;01/01/1750;5043
13;01/02/1750;5208
14;01/03/1750;7400
15;01/04/1750;7105
16;01/05/1750;7400
17;01/06/1750;9185
18;01/07/1750;6816
19;01/08/1750;9747
20;01/09/1750;7701
21;01/10/1750;3888
22;01/11/1750;3675
23;01/12/1750;5292
24;01/01/1751;4563
25;01/02/1751;1776
26;01/03/1751;1925
27;01/04/1751;2821
28;01/05/1751;3333
29;01/06/1751;2408
30;01/07/1751;4033
31;01/08/1751;3333
32;01/09/1751;507
33;01/10/1751;456
34;01/11/1751;705
35;01/12/1751;1680
36;01/01/1752;1121
37;01/02/1752;2241
38;01/03/1752;4720
39;01/04/1752;3201
40;01/05/1752;3267
41;01/06/1752;1452
42;01/07/1752;5633
43;01/08/1752;736
44;01/09/1752;645
45;01/10/1752;1976
46;01/11/1752;1281
47;01/12/1752;1408
48;01/01/1753;1728
49;01/02/1753;901
50;01/03/1753;1875
51;01/04/1753;1365
52;01/05/1753;1121
53;01/06/1753;901
54;01/07/1753;408
55;01/08/1753;1365
56;01/09/1753;675
57;01/10/1753;616
58;01/11/1753;341
59;01/12/1753;40
60;01/01/1754;0
61;01/02/1754;8
62;01/03/1754;3
63;01/04/1754;147
64;01/05/1754;408
65;01/06/1754;645
66;01/07/1754;300
67;01/08/1754;133
68;01/09/1754;75
69;01/10/1754;533
70;01/11/1754;176
71;01/12/1754;12
72;01/01/1755;96
73;01/02/1755;120
74;01/03/1755;33
75;01/04/1755;48
76;01/05/1755;0
77;01/06/1755;0
78;01/07/1755;75
79;01/08/1755;8
80;01/09/1755;300
81;01/10/1755;507
82;01/11/1755;33
83;01/12/1755;341
84;01/01/1756;120
85;01/02/1756;48
86;01/03/1756;27
87;01/04/1756;65
88;01/05/1756;147
89;01/06/1756;133
90;01/07/1756;12
91;01/08/1756;33
92;01/09/1756;147
93;01/10/1756;192
94;01/11/1756;261
95;01/12/1756;65
96;01/01/1757;176
97;01/02/1757;432
98;01/03/1757;616
99;01/04/1757;867
100;01/05/1757;1365
101;01/06/1757;147
102;01/07/1757;588
103;01/08/1757;2352
104;01/09/1757;1365
105;01/10/1757;936
106;01/11/1757;3816
107;01/12/1757;1008
108;01/01/1758;1240
109;01/02/1758;2408
